,model,score,params
0,linear_regression,0.47619047619047616,True
1,linear_regression,0.47619047619047616,False
2,logistic_regression,0.6190476190476191,"('l1', 'liblinear', 0.8858667904100823)"
3,logistic_regression,0.6190476190476191,"('l2', 'saga', 0.5455594781168515)"
4,neural_network_classifier,0.6190476190476191,"((80, 20, 40, 5), 'identity', 'lbfgs', 11.288378916846883)"
5,neural_network_classifier,0.6190476190476191,"((75, 25, 50, 10), 'identity', 'lbfgs', 11.288378916846883)"
6,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.0001)"
7,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.00018329807108324357)"
8,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.0003359818286283781)"
9,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.0006158482110660267)"
10,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.0011288378916846883)"
11,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.00206913808111479)"
12,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.00379269019073225)"
13,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.0069519279617756054)"
14,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.012742749857031334)"
15,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.023357214690901212)"
16,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.04281332398719392)"
17,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.07847599703514607)"
18,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.14384498882876628)"
19,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.26366508987303583)"
20,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.4832930238571752)"
21,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 0.8858667904100823)"
22,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 2.9763514416313193)"
23,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 5.455594781168514)"
24,nn_regressor,0.5238095238095238,"((80, 20, 40, 5), 'identity', 'sgd', 10.0)"
25,random_forest_classifier,0.5238095238095238,"('gini', 0.8, 21.0)"
26,random_forest_classifier,0.5238095238095238,"('gini', None, 47.0)"
27,random_forest_classifier,0.5238095238095238,"('entropy', 'auto', 51.0)"
28,random_forest_regressor,0.42857142857142855,"('mse', 0.8, 29.0)"
29,random_forest_regressor,0.42857142857142855,"('mse', 'auto', 19.0)"
30,random_forest_regressor,0.42857142857142855,"('mse', None, 19.0)"
31,svm_classifier,0.6666666666666666,"(0.0012742749857031334, 0.08858667904100823, 'sigmoid')"
32,svm_regressor,0.5238095238095238,"(0.001, 4.6415888336127775, 'sigmoid')"
