season,round,constructor,constructor_points_after_race,constructor_wins_after_race,constructor_standings_pos_after_race,constructor_points,constructor_wins,constructor_standings_pos
2017,1,ferrari,37,1,1,0.0,0.0,0.0
2017,1,mercedes,33,0,2,0.0,0.0,0.0
2017,1,red_bull,10,0,3,0.0,0.0,0.0
2017,1,williams,8,0,4,0.0,0.0,0.0
2017,1,force_india,7,0,5,0.0,0.0,0.0
2017,1,toro_rosso,6,0,6,0.0,0.0,0.0
2017,1,renault,0,0,7,0.0,0.0,0.0
2017,1,sauber,0,0,8,0.0,0.0,0.0
2017,1,mclaren,0,0,9,0.0,0.0,0.0
2017,1,haas,0,0,10,0.0,0.0,0.0
2017,2,mercedes,66,1,1,33.0,0.0,2.0
2017,2,ferrari,65,1,2,37.0,1.0,1.0
2017,2,red_bull,37,0,3,10.0,0.0,3.0
2017,2,toro_rosso,12,0,4,6.0,0.0,6.0
2017,2,force_india,10,0,5,7.0,0.0,5.0
2017,2,williams,8,0,6,8.0,0.0,4.0
2017,2,haas,4,0,7,0.0,0.0,10.0
2017,2,renault,0,0,8,0.0,0.0,7.0
2017,2,sauber,0,0,9,0.0,0.0,8.0
2017,2,mclaren,0,0,10,0.0,0.0,9.0
2017,3,ferrari,102,2,1,65.0,1.0,2.0
2017,3,mercedes,99,1,2,66.0,1.0,1.0
2017,3,red_bull,47,0,3,37.0,0.0,3.0
2017,3,force_india,17,0,4,10.0,0.0,5.0
2017,3,williams,16,0,5,8.0,0.0,6.0
2017,3,toro_rosso,12,0,6,12.0,0.0,4.0
2017,3,haas,8,0,7,4.0,0.0,7.0
2017,3,renault,2,0,8,0.0,0.0,8.0
2017,3,sauber,0,0,9,0.0,0.0,9.0
2017,3,mclaren,0,0,10,0.0,0.0,10.0
2017,4,mercedes,136,2,1,99.0,1.0,2.0
2017,4,ferrari,135,2,2,102.0,2.0,1.0
2017,4,red_bull,57,0,3,47.0,0.0,3.0
2017,4,force_india,31,0,4,17.0,0.0,4.0
2017,4,williams,18,0,5,16.0,0.0,5.0
2017,4,toro_rosso,13,0,6,12.0,0.0,6.0
2017,4,haas,8,0,7,8.0,0.0,7.0
2017,4,renault,6,0,8,2.0,0.0,8.0
2017,4,sauber,0,0,9,0.0,0.0,9.0
2017,4,mclaren,0,0,10,0.0,0.0,10.0
2017,5,mercedes,161,3,1,136.0,2.0,1.0
2017,5,ferrari,153,2,2,135.0,2.0,2.0
2017,5,red_bull,72,0,3,57.0,0.0,3.0
2017,5,force_india,53,0,4,31.0,0.0,4.0
2017,5,toro_rosso,21,0,5,13.0,0.0,6.0
2017,5,williams,18,0,6,18.0,0.0,5.0
2017,5,renault,14,0,7,6.0,0.0,8.0
2017,5,haas,9,0,8,8.0,0.0,7.0
2017,5,sauber,4,0,9,0.0,0.0,9.0
2017,5,mclaren,0,0,10,0.0,0.0,10.0
2017,6,ferrari,196,3,1,153.0,2.0,2.0
2017,6,mercedes,179,3,2,161.0,3.0,1.0
2017,6,red_bull,97,0,3,72.0,0.0,3.0
2017,6,force_india,53,0,4,53.0,0.0,4.0
2017,6,toro_rosso,29,0,5,21.0,0.0,5.0
2017,6,williams,20,0,6,18.0,0.0,6.0
2017,6,renault,14,0,7,14.0,0.0,7.0
2017,6,haas,14,0,8,9.0,0.0,8.0
2017,6,sauber,4,0,9,4.0,0.0,9.0
2017,6,mclaren,0,0,10,0.0,0.0,10.0
2017,7,mercedes,222,4,1,179.0,3.0,2.0
2017,7,ferrari,214,3,2,196.0,3.0,1.0
2017,7,red_bull,112,0,3,97.0,0.0,3.0
2017,7,force_india,71,0,4,53.0,0.0,4.0
2017,7,toro_rosso,29,0,5,29.0,0.0,5.0
2017,7,williams,22,0,6,20.0,0.0,6.0
2017,7,renault,18,0,7,14.0,0.0,7.0
2017,7,haas,15,0,8,14.0,0.0,8.0
2017,7,sauber,4,0,9,4.0,0.0,9.0
2017,7,mclaren,0,0,10,0.0,0.0,10.0
2017,8,mercedes,250,4,1,222.0,4.0,1.0
2017,8,ferrari,226,3,2,214.0,3.0,2.0
2017,8,red_bull,137,1,3,112.0,0.0,3.0
2017,8,force_india,79,0,4,71.0,0.0,4.0
2017,8,williams,37,0,5,22.0,0.0,6.0
2017,8,toro_rosso,33,0,6,29.0,0.0,5.0
