grid_position,driver_name,car,qualifying_time,season,round
1,Jenson  Button  BUT,Brawn Mercedes,1:26.202,2009,1
2,Rubens  Barrichello  BAR,Brawn Mercedes,1:26.505,2009,1
3,Sebastian  Vettel  VET,RBR Renault,1:26.830,2009,1
4,Robert  Kubica  KUB,Sauber BMW,1:26.914,2009,1
5,Nico  Rosberg  ROS,Williams Toyota,1:26.973,2009,1
6,Felipe  Massa  MAS,Ferrari,1:27.033,2009,1
7,Kimi  Räikkönen  RAI,Ferrari,1:27.163,2009,1
8,Mark  Webber  WEB,RBR Renault,1:27.246,2009,1
9,Nick  Heidfeld  HEI,Sauber BMW,1:25.504,2009,1
10,Fernando  Alonso  ALO,Renault,1:25.605,2009,1
11,Kazuki  Nakajima  NAK,Williams Toyota,1:25.607,2009,1
12,Heikki  Kovalainen  KOV,McLaren Mercedes,1:25.726,2009,1
13,Sebastien  Buemi  BUE,STR Ferrari,1:26.503,2009,1
14,Nelson  Piquet  PIQ,Renault,1:26.598,2009,1
15,Giancarlo  Fisichella  FIS,Force India Mercedes,1:26.677,2009,1
16,Adrian  Sutil  SUT,Force India Mercedes,1:26.742,2009,1
17,Sebastien  Bourdais  BOU,STR Ferrari,1:26.964,2009,1
18,Lewis  Hamilton  HAM,McLaren Mercedes,,2009,1
1,Jenson  Button  BUT,Brawn Mercedes,1:35.181,2009,2
2,Jarno  Trulli  TRU,Toyota,1:35.273,2009,2
3,Timo  Glock  GLO,Toyota,1:35.690,2009,2
4,Nico  Rosberg  ROS,Williams Toyota,1:35.750,2009,2
5,Mark  Webber  WEB,RBR Renault,1:35.797,2009,2
6,Robert  Kubica  KUB,Sauber BMW,1:36.106,2009,2
7,Kimi  Räikkönen  RAI,Ferrari,1:36.170,2009,2
8,Rubens  Barrichello  BAR,Brawn Mercedes,1:35.651,2009,2
9,Fernando  Alonso  ALO,Renault,1:37.659,2009,2
10,Nick  Heidfeld  HEI,Sauber BMW,1:34.769,2009,2
11,Kazuki  Nakajima  NAK,Williams Toyota,1:34.788,2009,2
12,Lewis  Hamilton  HAM,McLaren Mercedes,1:34.905,2009,2
13,Sebastian  Vettel  VET,RBR Renault,1:35.518,2009,2
14,Heikki  Kovalainen  KOV,McLaren Mercedes,1:34.924,2009,2
15,Sebastien  Bourdais  BOU,STR Ferrari,1:35.431,2009,2
16,Felipe  Massa  MAS,Ferrari,1:35.642,2009,2
17,Nelson  Piquet  PIQ,Renault,1:35.708,2009,2
18,Giancarlo  Fisichella  FIS,Force India Mercedes,1:35.908,2009,2
19,Adrian  Sutil  SUT,Force India Mercedes,1:35.951,2009,2
20,Sebastien  Buemi  BUE,STR Ferrari,1:36.107,2009,2
1,Sebastian  Vettel  VET,RBR Renault,1:36.184,2009,3
2,Fernando  Alonso  ALO,Renault,1:36.381,2009,3
3,Mark  Webber  WEB,RBR Renault,1:36.466,2009,3
4,Rubens  Barrichello  BAR,Brawn Mercedes,1:36.493,2009,3
5,Jenson  Button  BUT,Brawn Mercedes,1:36.532,2009,3
6,Jarno  Trulli  TRU,Toyota,1:36.835,2009,3
7,Nico  Rosberg  ROS,Williams Toyota,1:37.397,2009,3
8,Kimi  Räikkönen  RAI,Ferrari,1:38.089,2009,3
9,Lewis  Hamilton  HAM,McLaren Mercedes,1:38.595,2009,3
10,Sebastien  Buemi  BUE,STR Ferrari,1:39.321,2009,3
11,Nick  Heidfeld  HEI,Sauber BMW,1:35.975,2009,3
